F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,class_
32.44283,0.1251556,30.24392,31.99147,35.34401,5.10009,298.8146,422.3124,176.4423,241.6484,0.4533505,0.5859607,0.1782562,0.4164841,0.638976,0.4607198,5.034185,3.697815,5.105742,2.918054,0.04080172,2.127006,1.023105,0.8600505,8.470981,0.3274626,10.0634,0.7671382,35.70308,0.2700259,653.1564,0.2612997,1437.242,0.1525163,-78.79951,-1.074443,1656.668,0.1702647,-85.71932,-0.8974735,2669.598,0.08265852,-91.40641,-0.8007213,-24.05318,-0.2309192,34.92896,0.2391781,0.02874063,0.7854992,-0.02296745,-0.5795892,-17.15914,28.26601,-0.01225688,0.003006373,3.278688,2.606635,0.2472727,0.1853788,0.127,0.1222334,0
29.89354,0.1246151,26.59831,29.55739,32.64631,6.047995,71.25951,104.0989,28.92466,14.1008,0.4768102,0.4915304,0.2388991,0.487165,0.709289,0.4703899,7.195356,4.127731,4.969036,2.887946,0.02716144,0.8833227,1.305876,0.7295983,4.876898,0.4917317,4.761688,1.752488,15.66829,0.6912827,615.5226,0.3311631,1487.094,0.1725254,-67.83286,-1.258669,1549.218,0.1426668,-71.25679,-1.141629,2454.546,0.09037387,-73.62022,-1.08443,-8.427418,-0.8304499,17.45547,0.5121914,0.009343125,2.608828,-0.01156879,-1.276166,-16.67142,25.96771,-0.02453602,0.001833158,5.415861,3.515625,0.1861111,0.1834284,0.08235294,0.04722031,0
24.80631,0.05259551,23.57639,24.6651,26.12129,2.544899,125.2147,147.6269,13.27923,6.34916,0.4955262,0.5007979,0.2407464,0.4303539,0.7647828,0.5240365,6.201446,2.979178,5.40472,2.898095,0.02158436,0.9668086,1.321768,0.9239051,4.474182,0.4206064,8.807879,1.025457,17.85852,0.4142403,484.1834,0.2908576,1381.021,0.1406515,-77.71763,-1.161218,1454.467,0.1410668,-83.95242,-1.016968,2421.291,0.05696072,-83.72187,-1.018401,-13.35607,-0.3991846,18.51094,0.3161153,0.01801726,0.9849573,-0.02432342,-0.6265721,-12.63106,18.51819,-0.000702232,-0.01046569,4.918033,3.080569,0.1938462,0.1283348,0.1107692,0.1021659,0
20.09953,0.0331648,19.57459,20.18404,20.63019,1.055601,80.72281,85.34315,17.21082,11.18076,0.1760899,0.5683255,0.09026393,0.1606432,0.2458273,0.1555634,1.509519,0.9643435,1.98977,1.225037,0.03374382,1.21509,1.340305,1.078077,3.772954,0.449493,10.77902,0.7759309,28.10937,0.2954454,510.7116,0.2243157,1433.171,0.1313283,-96.40723,-0.9478854,1452.077,0.1437694,-104.6603,-0.8052725,2407.798,0.08317424,-108.9736,-0.7381015,-21.33816,-0.2757495,30.82818,0.2148877,0.003618513,4.561693,-0.02212995,-0.6554143,-11.78422,20.40834,-0.0011384,-9.57E-05,3.236797,2.92599,0.1752941,0.1368605,0.1464706,0.1544227,0
32.73645,0.1381937,29.6608,31.56973,33.79597,4.135174,157.7513,130.5299,108.1198,118.1425,1.377509,0.503966,0.6882247,1.247707,1.998594,1.310369,17.44774,8.888916,11.34662,7.960495,0.04511636,1.447706,1.318464,0.6116007,4.812004,0.5238388,6.767239,1.280669,18.47957,0.5829903,706.824,0.2369398,1543.248,0.1795444,-113.4188,-0.8422955,1618.965,0.1194383,-114.3342,-0.799343,2526.356,0.04729717,-114.8994,-0.7886851,-10.17261,-0.6425589,18.28981,0.4760434,0.04949092,0.390021,-0.02507709,-0.5540172,-5.841576,12.6437,0.04478917,-0.01657958,3.703704,2.863436,0.1469231,0.1095013,0.1685714,0.1164264,0
27.06133,0.09398008,24.82504,26.86436,29.08622,4.261185,60.32358,98.00835,32.60933,29.59652,0.3040544,0.3138057,0.2182894,0.2913355,0.3864924,0.1682031,2.688711,1.440145,2.275555,1.335332,0.02948503,1.062396,1.100469,0.7435774,4.88543,0.6285393,4.195712,1.410781,21.37793,0.4463832,590.3394,0.2783185,1521.611,0.1274955,-100.7358,-0.9396198,1512.721,0.1317624,-103.4151,-0.8819903,2466.698,0.08144275,-106.594,-0.8264406,-10.20852,-0.7751046,21.51362,0.3624669,0.05661537,0.3335425,-0.006725584,-2.458625,-7.555195,16.40338,0.04864565,-0.00190833,4.045927,2.467105,0.1982222,0.1412844,0.1866667,0.1393955,0
28.56092,0.1156077,25.57442,28.14398,31.88212,6.307705,143.82,200.8803,27.20422,9.185245,0.5373701,0.4905582,0.2964765,0.5140016,0.779619,0.4831425,7.129401,4.398672,5.206558,3.548687,0.03113046,1.171947,1.044878,0.8357518,6.568951,0.3895732,4.095935,1.800503,25.12368,0.2666366,540.1227,0.3535717,1422.038,0.1306067,-57.95581,-1.459148,1474.901,0.1639461,-64.36602,-1.239399,2418.831,0.08883635,-70.25828,-1.082164,-14.83723,-0.3597794,24.72211,0.2455431,0.04871101,0.4514711,-0.01824361,-1.073291,-6.612279,12.62759,0.02364944,-0.000975265,4.407295,2.453988,0.28625,0.2475347,0.10125,0.1025838,0
27.12054,0.1613293,24.32391,26.47548,28.99881,4.6749,125.7778,156.9156,72.88362,147.913,0.4349073,0.595556,0.2240077,0.3596915,0.6369082,0.4129006,6.296853,3.247148,5.188626,3.837216,0.03328658,0.9800202,1.40259,0.808598,4.015594,0.647183,3.283435,1.982223,17.51274,0.5232112,631.7316,0.351008,1468.413,0.1723413,-96.61053,-0.9624966,1558.834,0.1470904,-97.58679,-0.9172934,2483.458,0.07826064,-98.91025,-0.8908668,-8.924841,-0.8195356,16.87343,0.4749337,0.04896526,0.483062,-0.01443569,-1.386301,-1.737175,8.247217,0.03542016,-0.000850694,4.730106,4.129464,0.1194595,0.080268,0.1066197,0.08994433,0
24.76969,0.1000538,23.16068,24.38399,25.75602,2.595343,73.13007,49.10111,20.03841,17.02712,0.4855857,0.4277563,0.3082216,0.4604692,0.6429078,0.3346862,5.068151,2.46169,4.659,2.002759,0.03353669,1.235897,1.205894,0.8475235,4.362742,0.4920577,3.029781,1.56398,30.90038,0.1945917,629.9717,0.2278379,1428.202,0.1297478,-98.7862,-0.9385436,1560.362,0.1262326,-105.3128,-0.8156335,2542.158,0.08192577,-110.3889,-0.7359349,-17.80529,-0.3353201,28.89151,0.2085741,0.01171885,1.46192,-0.02488848,-0.4545068,-11.82551,19.75546,-0.004610289,-0.01569974,5.063292,3.076923,0.1608333,0.1044396,0.1323077,0.06646616,0
25.27627,0.1401697,23.16593,24.30301,26.24372,3.077791,275.1801,323.9278,59.87527,71.48226,0.5895851,0.586913,0.2662482,0.523244,0.8742706,0.6080225,7.754179,4.536992,6.121706,3.047366,0.03566312,1.4452,1.612214,0.7507328,3.606713,0.646962,3.795113,1.355134,18.68445,0.3657839,560.5624,0.3170944,1540.223,0.2129107,-84.40874,-1.167834,1481.653,0.1193208,-88.47698,-1.061089,2416.228,0.0623846,-90.84324,-1.009633,-12.27711,-0.3748571,21.14384,0.265982,0.06606054,0.2663786,-0.01806328,-0.6353188,-8.260036,17.04904,0.06432582,-0.006450233,4.347826,3.109815,0.17125,0.176896,0.1348387,0.1291378,0
29.83047,0.04980332,28.72973,30.17338,30.85651,2.126778,93.08636,105.7729,12.40162,6.178339,1.063872,0.5680631,0.5253651,0.8821954,1.511839,0.9864739,16.05901,10.25564,13.66257,8.768008,0.01431546,1.018681,1.253685,0.6285918,4.219126,0.5558891,3.140649,2.060214,10.76235,0.6487532,646.3593,0.3249485,1442.064,0.1858585,-84.37602,-1.072651,1550.87,0.126075,-82.78827,-1.074961,2500.281,0.07107731,-85.51038,-1.013845,-5.188235,-0.9561075,12.89388,0.4214942,0.02805096,0.6041367,-0.01294094,-1.094723,-6.696162,12.87192,0.0145116,-0.01906202,5.084746,3.433476,0.168125,0.1670037,0.1106667,0.1056072,0
29.25787,0.08728202,27.40699,29.20037,30.95296,3.545977,94.35453,132.846,16.62042,6.337219,0.3398986,0.4861037,0.2010229,0.3047717,0.4546998,0.2536769,4.15686,3.68768,3.398713,2.171091,0.02210285,0.9049371,1.131361,0.6966412,6.971722,0.342557,5.012819,1.617496,30.79075,0.2110039,575.8742,0.25679,1522.17,0.1600562,-53.84136,-1.499838,1517.005,0.1141561,-65.56503,-1.112074,2451.073,0.09229269,-72.69775,-0.949293,-19.07336,-0.2675979,32.34315,0.1742658,0.03032152,0.6123551,-0.01849939,-0.6438887,-10.17211,18.94577,0.01530128,-0.004587609,4.397706,1.937985,0.382,0.2297303,0.114,0.1065082,0
32.91063,0.08737419,30.50637,32.73838,34.79676,4.29039,138.4189,255.7437,27.18464,9.053885,0.2367859,0.6661929,0.09607667,0.1877764,0.3612513,0.2651746,2.892279,1.391609,2.928478,1.434461,0.03300128,1.554587,1.075844,0.7914856,7.934342,0.3584344,6.298909,1.473419,26.63402,0.3418197,542.2524,0.2951745,1477.943,0.1206223,-87.87929,-1.049468,1497.924,0.1563559,-90.70908,-0.9476197,2454.478,0.09481782,-96.05781,-0.8490183,-16.46242,-0.4197123,29.13539,0.2719397,0.03722406,0.5796858,-0.01627402,-0.9296004,-12.6079,22.01025,-0.001599765,0.003166609,3.333333,2.481752,0.2329412,0.1993745,0.168,0.1610466,0
32.22733,0.116472,30.46079,31.05667,33.38206,2.921272,553.3708,762.0125,64.23219,63.00071,0.3832976,0.4193167,0.2341877,0.3456908,0.5159133,0.2817256,3.357601,1.638879,3.131369,1.739855,0.02422825,1.355862,1.116174,0.6745828,5.733058,0.4778439,3.164986,2.38695,12.20389,0.5986091,709.1865,0.3393189,1408.244,0.1906378,-54.14112,-1.510444,1675.035,0.1370165,-55.14849,-1.380816,2531.314,0.07390543,-53.21019,-1.453122,-6.73271,-0.5904973,12.41211,0.471094,0.07852202,0.2284497,-0.01317132,-0.9189099,-2.470819,8.303481,0.06195869,-0.003392638,3.869654,3.08642,0.2366666,0.1633673,0.09,0.05274294,0
23.38547,0.1126473,21.66545,23.01248,24.84745,3.182003,116.0449,177.7584,45.96262,105.061,0.4016872,0.4798626,0.2278014,0.3745349,0.5573782,0.3295768,4.833983,2.773499,4.126211,2.677553,0.03368976,1.002515,1.401127,0.8697921,4.378078,0.4725264,6.666313,0.7509704,27.45454,0.3006264,517.3573,0.2818288,1392.779,0.1459937,-83.60353,-1.080947,1509.202,0.1458109,-91.86057,-0.9077384,2446.498,0.07552212,-93.7662,-0.8710704,-17.62964,-0.391624,24.78828,0.3115337,0.02447132,0.9096578,-0.02205299,-0.6543083,-4.055778,9.978826,0.0300418,-0.0018018,4.600977,3.266639,0.1745,0.1438046,0.1201351,0.1040334,0
23.9325,0.02826391,23.30271,24.04169,24.46329,1.160582,30.77973,45.49097,13.2732,10.95181,0.4373842,0.3976311,0.2734548,0.3976175,0.6098383,0.3363835,4.016664,2.032689,3.747463,2.299671,0.02212946,0.7862513,1.428923,0.6461713,3.824583,0.3761005,5.105454,0.6127785,24.91667,0.2973783,549.6551,0.2563268,1470.077,0.1186896,-80.42937,-1.142644,1486.236,0.1242195,-86.25219,-1.011535,2426.088,0.05527662,-90.48482,-0.9294833,-15.28848,-0.3092336,24.27985,0.2776529,0.01116351,1.578161,-0.02352262,-0.4520918,-13.41831,22.34159,-0.01158902,-0.0130796,4.761905,2.204409,0.2690909,0.1292956,0.15,0.1181807,0
34.96526,0.04052963,33.9936,35.19748,35.96693,1.973324,55.02308,59.40919,8.528557,4.700291,0.6426588,0.5654606,0.2698467,0.5572858,1.050825,0.7809783,6.869734,3.718885,5.428346,4.002734,0.01750759,1.32919,0.9076254,0.7774819,7.744464,0.3513389,1.261628,5.348126,12.03143,0.5955128,687.9579,0.3007099,1517.157,0.1646538,-91.3213,-1.043928,1576.081,0.1135422,-89.18003,-1.031543,2416.904,0.05541296,-91.3771,-0.9870717,-6.494712,-0.6401941,14.90468,0.3869143,0.06816216,0.2645942,-0.009124998,-1.424678,-3.341883,10.51505,0.05529725,0.001778118,3.258656,1.85567,0.3033333,0.1706849,0.2155555,0.2344313,0
32.66504,0.1192309,30.14512,32.7478,35.0265,4.881374,54.76449,72.91071,178.83,168.611,0.4819145,0.5907022,0.207287,0.4214878,0.7287937,0.5215067,5.818056,4.530709,5.804662,4.695186,0.02668916,1.445634,1.179768,0.9876765,7.556464,0.4434495,5.056941,2.142495,22.18015,0.5912516,663.0098,0.3295815,1502.576,0.1751219,-67.63441,-1.355552,1574.681,0.160116,-70.46228,-1.199615,2567.38,0.08785939,-73.63194,-1.118599,-13.55973,-0.57465,23.00413,0.433184,0.082795,0.2362278,-0.02117519,-0.8293746,-5.427362,13.02695,0.06403734,-0.003482878,3.914591,2.333932,0.2846154,0.2768953,0.1238461,0.09344175,0
29.35529,0.1339194,26.4623,28.35779,31.85217,5.389872,242.9659,351.1081,125.6911,168.989,0.9867828,0.5629284,0.4562839,0.9119463,1.659793,1.203509,12.05987,6.451875,5.991301,2.982599,0.04536971,1.724811,0.9607716,1.034118,5.283936,0.5498089,2.543841,4.719255,18.8203,0.7073818,733.2728,0.265883,1486.565,0.174669,-72.31892,-1.28489,1607.304,0.1231642,-75.77568,-1.170965,2512.201,0.05315974,-79.17316,-1.092172,-12.65693,-0.4348505,22.38939,0.3483028,0.05472857,0.4033834,-0.0204429,-0.5611228,-10.27858,17.45402,0.03314068,-0.01339755,3.392569,2.622951,0.23625,0.2705059,0.1414286,0.131413,0
30.89663,0.08893192,28.35832,30.55809,33.88512,5.526802,33.31222,30.94932,30.13939,38.64572,1.326124,0.3858888,0.8321955,1.312674,1.792031,0.9598358,13.42651,6.454087,11.90235,5.196549,0.02954912,1.168013,1.406653,0.6614927,5.607422,0.4214336,4.318478,2.082843,20.67074,0.3316799,685.0899,0.3385917,1485.433,0.197646,-72.65896,-1.194703,1588.07,0.1374461,-73.47805,-1.112561,2528.104,0.06213024,-75.44376,-1.062973,-11.23037,-0.3999063,19.12591,0.2798896,0.05986332,0.3567894,-0.01614951,-0.8012803,-7.418505,13.43278,0.04451512,-0.01234125,5.683564,3.738318,0.17125,0.149675,0.0895,0.08645663,0
27.50441,0.1474999,24.61433,25.93246,32.23481,7.620472,25.31831,7.918567,35.03343,10.11282,1.561298,0.3195404,1.121421,1.438839,1.907244,0.7858225,11.37435,5.919497,8.65975,4.884168,0.02076651,0.8826234,1.381806,0.5603304,3.742899,0.5384126,-0.6233587,-8.721827,17.87227,0.4835758,671.6888,0.3128659,1636.585,0.1328031,-138.5899,-0.6250778,1580.758,0.1140576,-137.9507,-0.6205935,2457.008,0.05931073,-139.9452,-0.5913683,-10.59723,-0.4681161,20.13964,0.2458838,0.02755072,0.6392655,-0.01741339,-0.4321119,-12.17143,20.69517,0.01903428,-0.01884996,4.901961,3.225807,0.09,0.05697503,0.1984615,0.2619115,0
23.24363,0.04623664,22.58261,22.99018,23.68263,1.100018,160.0277,135.8907,12.96473,8.294587,0.3072324,0.4771534,0.1764926,0.2908092,0.4246088,0.2481162,4.486947,2.131024,3.115529,1.484692,0.02369627,1.023125,1.679309,0.8803627,4.53555,0.3817471,8.310779,0.4609389,25.23191,0.3632002,583.0621,0.2635294,1447.917,0.09815803,-96.32355,-0.9328872,1498.903,0.140073,-101.4152,-0.8433242,2442.217,0.1012659,-105.7322,-0.7725515,-14.87664,-0.3933864,26.80343,0.3004698,0.01888516,0.9351687,-0.01963096,-0.7827803,-9.719705,17.5972,0.005405785,-0.001688993,5.464481,3.860294,0.1304762,0.08643612,0.1031818,0.07394018,0
